Family_ID	Gene_Count	Core_Status	Protein_Anchor_Orthogroups
fam1	4	PARTIAL	myID242,myID244,myID245,myID246,myID247,myID248,myID249,myID250
fam2	2	PARTIAL	myID2863,myID2864,myID2865,myID2866,myID2867
fam3	4	PARTIAL	myID553,myID554,myID555
fam4	2	PARTIAL	myID3940,myID3941,myID3942
fam5	5	PARTIAL	myID3802,myID3803,myID3804,myID3805,myID3806,myID3807,myID3808
fam6	3	PARTIAL	myID2384,myID2385,myID2386,myID2387
fam7	6	CORE	myID836,myID839,myID841,myID842,myID843,myID844,myID845,myID846
fam8	5	PARTIAL	myID3699,myID3700,myID3701,myID3702,myID3703
fam9	6	CORE	myID2844,myID2845,myID2846,myID2847,myID2848,myID2849,myID2851
fam10	2	PARTIAL	myID2706,myID2707,myID2708,myID2709,myID2710,myID2711,myID2712
fam11	2	PARTIAL	myID5159,myID5160
fam12	4	PARTIAL	myID4990,myID4991,myID4992,myID4993
fam13	5	PARTIAL	myID3106,myID3107,myID3108
fam14	4	PARTIAL	myID510,myID511,myID512,myID513
fam15	2	PARTIAL	myID343,myID344,myID345,myID346
fam16	4	PARTIAL	myID112,myID113,myID114,myID115,myID116,myID117
fam17	4	PARTIAL	myID259,myID260,myID261,myID262
fam18	2	PARTIAL	myID4767,myID4768,myID4769,myID4770,myID4771,myID4772
fam19	6	PARTIAL	myID1051,myID1052,myID1053,myID1054,myID1055,myID1056,myID1057,myID1058,myID1059,myID1060
fam20	4	PARTIAL	myID2741,myID2742,myID2743,myID2744
fam21	6	PARTIAL	myID981,myID982,myID983,myID984,myID985,myID986,myID987,myID988
fam22	2	PARTIAL	myID3975,myID3976,myID3978,myID3979,myID3980
fam23	4	PARTIAL	myID3958,myID3959,myID5087,myID5088
fam24	4	PARTIAL	myID4427,myID4428,myID4429,myID4430,myID4431
fam25	3	PARTIAL	myID2185,myID2186,myID2187,myID2188,myID2189,myID2190
fam26	2	PARTIAL	myID1442,myID1443,myID1444,myID1445,myID1690,myID1691,myID1692
fam27	2	PARTIAL	myID4876,myID4879,myID4880,myID4881,myID4882
fam28	3	PARTIAL	myID2170,myID2171,myID2172,myID2176
fam29	9	CORE	myID1792,myID1793,myID1794,myID1795,myID1796,myID1797,myID1798
fam30	3	PARTIAL	myID2683,myID2684,myID2685,myID2686,myID2687,myID2688,myID2689,myID2694
fam31	5	PARTIAL	myID2488,myID2489,myID2490,myID2491,myID2492
fam32	2	PARTIAL	myID3881,myID3882,myID3883,myID3884,myID3885,myID3886
fam33	5	CORE	myID3537,myID3538,myID3539,myID3540,myID3541,myID3542
fam34	2	PARTIAL	myID497,myID498,myID499,myID500
fam35	4	PARTIAL	myID2007,myID2008,myID2009,myID2010
fam36	6	PARTIAL	myID1784,myID1785,myID1786,myID1787,myID1788,myID1789,myID1790,myID1791,myID1792,myID1793,myID1794
fam37	3	PARTIAL	myID3141,myID3142,myID3145,myID3146,myID3147
fam38	5	PARTIAL	myID687,myID688,myID689
fam39	2	PARTIAL	myID78,myID79,myID80,myID81,myID82,myID83
fam40	2	PARTIAL	myID777,myID778,myID779,myID780
fam41	16	CORE	myID4543,myID4544,myID4545,myID4546,myID4547,myID4548,myID4549,myID4550,myID4551,myID4552,myID4553,myID4554,myID4555,myID4556
fam42	3	PARTIAL	myID3650,myID3651,myID3652,myID3653,myID3654,myID3655,myID3656
fam43	3	PARTIAL	myID3747,myID3748,myID3749,myID3750,myID3751
fam44	2	PARTIAL	myID2956,myID2959,myID2960
fam45	6	PARTIAL	myID3134,myID3135,myID3136,myID3137,myID3138,myID3139
fam46	2	PARTIAL	myID4169,myID4170,myID4171
fam47	3	PARTIAL	myID4860,myID4861,myID4862,myID4863,myID4864,myID4865,myID4866
fam48	4	PARTIAL	myID662,myID663,myID664,myID665,myID666,myID667,myID668,myID669
fam49	2	PARTIAL	myID2568,myID2569,myID2570,myID2571,myID2572,myID2573
fam50	4	PARTIAL	myID3471,myID3472,myID3473,myID3474,myID3475,myID3476
fam51	3	PARTIAL	myID2836,myID2837,myID2838,myID2839,myID2840
fam52	2	PARTIAL	myID240,myID241,myID242,myID243,myID244,myID245
fam53	5	PARTIAL	myID719,myID720,myID721,myID722,myID723,myID724
fam54	2	PARTIAL	myID2054,myID2055,myID2056,myID2057,myID2058
fam55	5	PARTIAL	myID2269,myID2270,myID2271
fam56	2	PARTIAL	myID3258,myID3259,myID3260,myID3261
fam57	2	PARTIAL	myID2585,myID2586,myID2587,myID2588,myID2589
fam58	3	PARTIAL	myID1377,myID1378,myID1379,myID1380,myID1381,myID1382
fam59	2	PARTIAL	myID2872,myID2873,myID2874,myID2875,myID2876,myID2877
fam60	2	PARTIAL	myID5257,myID5258,myID5259,myID5260,myID5261
fam61	4	PARTIAL	myID5094,myID5095,myID5096,myID5097,myID5098
fam62	4	PARTIAL	myID875,myID876,myID877,myID878,myID879
fam63	5	PARTIAL	myID2259,myID2260,myID2261,myID2262
fam64	6	PARTIAL	myID939,myID940,myID941,myID942,myID943,myID944
fam65	4	PARTIAL	myID1023,myID1024,myID1025
fam66	2	PARTIAL	myID3148,myID3149
fam67	3	PARTIAL	myID4031,myID4032,myID4033,myID4034,myID4035,myID4036
fam68	4	PARTIAL	myID4657,myID4658,myID4659,myID4660
fam69	2	PARTIAL	myID1314,myID1315,myID1316,myID1317,myID1318,myID1319
fam70	6	PARTIAL	myID564,myID565,myID566,myID567,myID568
fam71	2	PARTIAL	myID2458,myID2459,myID2460,myID2461,myID2462,myID2463
fam72	2	PARTIAL	myID1614,myID1615,myID1616,myID1617,myID1618
fam73	5	PARTIAL	myID1266,myID1271,myID1272,myID1273,myID1274,myID1275,myID1276,myID1277
fam74	3	PARTIAL	myID2133,myID2134,myID2135,myID2136,myID2137
fam75	7	CORE	myID3896,myID3901,myID3902,myID3903,myID3904,myID3905,myID3906
fam76	5	PARTIAL	myID2575,myID2576,myID2577,myID2578,myID2579,myID2580,myID2581,myID2582
fam77	2	PARTIAL	myID716,myID717,myID718,myID719,myID727
fam78	2	PARTIAL	myID1857,myID1858,myID1859,myID1860,myID1861
fam79	2	PARTIAL	myID4604,myID4605,myID4606,myID4607,myID4608
fam80	4	PARTIAL	myID2263,myID2264,myID2265,myID2266,myID2267
fam81	6	PARTIAL	myID1995,myID1996,myID1997,myID1998
fam82	2	PARTIAL	myID1373,myID1374,myID1375,myID1376,myID1377,myID1378
fam83	5	CORE	myID2966,myID2967,myID2968,myID2969,myID2970,myID2971,myID2972,myID2973,myID2974
fam84	4	PARTIAL	myID3451,myID3452,myID3455,myID3456,myID3457
fam85	3	PARTIAL	myID2854,myID2855,myID2856,myID2857,myID2858,myID2859
fam86	5	PARTIAL	myID2534,myID2535,myID2536,myID2537,myID2538,myID2539,myID2540
fam87	2	PARTIAL	myID1389,myID1390,myID1391,myID1392,myID1393,myID1394
fam88	5	PARTIAL	myID1239,myID1240,myID1241
