Orthogroup	afla	afum	anid	anig
OG0000000	F9C07_12490, F9C07_12702, F9C07_1604005, F9C07_2236802, F9C07_2276688, F9C07_2276689, F9C07_2276876, F9C07_2280540, F9C07_2281633, F9C07_2459, F9C07_4197, F9C07_4715, F9C07_4717	Afu2g10840, Afu3g01030, Afu3g01630, Afu3g03310, Afu5g01310, Afu6g09550, Afu6g11800, Afu6g11810, Afu7g01970, Afu8g05740	AN10770, AN2355, AN2798, AN3508, AN3509, AN8104, AN9111	An01g00700, An02g02330, An02g07560, An02g07970, An03g06090, An06g01020, An07g00860, An07g00970, An08g09410, An09g01940, An09g03270, An09g03280, An16g00680, An16g06760
OG0000001	F9C07_2230607	Afu7g06870	AN0376, AN0535, AN0536, AN0537, AN10256, AN10632, AN10649, AN10654, AN10687, AN10846, AN11204, AN2616, AN2670, AN2713, AN2714, AN3471, AN3500, AN5065, AN5066, AN5095, AN5253, AN5254, AN5470, AN5471, AN6966, AN6967, AN6968, AN7830, AN7831, AN7840, AN7845, AN7846, AN8160, AN8295, AN8305, AN8576	An05g02090, An06g02630
OG0000002	F9C07_11922, F9C07_1797181, F9C07_1936577, F9C07_2039210, F9C07_2040390, F9C07_2068382, F9C07_2126592, F9C07_2131431, F9C07_2201485, F9C07_2203973, F9C07_2212809, F9C07_2235879, F9C07_2237379, F9C07_2287353, F9C07_2901, F9C07_3201, F9C07_327, F9C07_511, F9C07_98	Afu2g04890, Afu2g15860, Afu3g14920, Afu7g08245, Afu8g01930	AN2165, AN3556, AN5091, AN5416, AN6749, AN7933, AN8520, AN8945	An01g05920, An03g06140, An06g00860, An07g01360, An08g11720, An11g04600, An15g06160
OG0000003	F9C07_2225959, F9C07_2226123, F9C07_2232154, F9C07_2248733, F9C07_2281359, F9C07_2282013, F9C07_2285605, F9C07_2285756, F9C07_2285882, F9C07_4254, F9C07_533, F9C07_7798	Afu2g17820	AN0761, AN10889, AN12090, AN2398, AN2609, AN4008, AN6945, AN6952, AN8569, AN8960, AN9233	An01g00880, An01g02640, An02g00810, An03g05790, An03g05990, An07g05520, An09g00220, An11g00280, An12g02810, An14g05840, An15g06970, An16g01250, An16g06360, An16g08530, An18g00550
OG0000004	F9C07_2058678, F9C07_2137651, F9C07_2193953, F9C07_2280446, F9C07_2282495, F9C07_2283794, F9C07_2283882, F9C07_2285637, F9C07_2286086, F9C07_2287642, F9C07_2287736, F9C07_8705	Afu1g10380, Afu4g14440, Afu5g12730, Afu6g12080, Afu8g00170	AN0016, AN10576, AN1242, AN2545, AN3495, AN3496, AN7884, AN8433, AN9243, AN9244	An01g11770, An02g05070, An03g00650, An03g06010, An05g01060, An08g02310, An09g01690, An12g02840, An15g07530, An15g07910, An16g06720
OG0000005		Afu1g01010, Afu2g01290, Afu3g02530, Afu3g14700, Afu5g14460		An01g01130, An01g02030, An01g06930, An01g06950, An01g12030, An01g12040, An02g00450, An02g09430, An03g02220, An03g05140, An03g06380, An04g10030, An07g01030, An09g01290, An09g01930, An09g05340, An11g03920, An11g04280, An11g05570, An11g05940, An11g05960, An12g02670, An12g02730, An12g07070, An13g02430, An14g04850, An15g02130, An15g04140, An15g05090, An15g07920, An16g07170
OG0000006	F9C07_10607, F9C07_13354, F9C07_1799325, F9C07_1807649, F9C07_2057050, F9C07_2057781, F9C07_2062029, F9C07_2071928, F9C07_2104039, F9C07_2104040, F9C07_2130132, F9C07_2155890, F9C07_2166428, F9C07_2197581, F9C07_2200969, F9C07_2203102, F9C07_2205432, F9C07_2225075, F9C07_2229464, F9C07_2229545, F9C07_2237258, F9C07_2237328, F9C07_2256347, F9C07_2260427, F9C07_2281263, F9C07_2281294, F9C07_2284161, F9C07_2286580, F9C07_2287535, F9C07_3387, F9C07_4641, F9C07_7241	Afu1g00850, Afu5g14582		
OG0000007	F9C07_10126, F9C07_10988, F9C07_11486, F9C07_12579, F9C07_1730779, F9C07_2171790, F9C07_2227337, F9C07_2282922, F9C07_8008, F9C07_9309, F9C07_9333	Afu1g01610, Afu1g05950, Afu4g01060, Afu4g02880, Afu6g03180, Afu7g05880	AN0386, AN2570, AN3193, AN4199, AN5371, AN6727, AN8146, AN9343	An01g14710, An01g14870, An04g08650, An07g02000, An13g01640, An14g02620, An18g03630
OG0000008	F9C07_1354273, F9C07_1718744, F9C07_2093327, F9C07_2154542, F9C07_2202418, F9C07_2210056, F9C07_2224717, F9C07_2224936, F9C07_2228902, F9C07_2249463, F9C07_2279947, F9C07_2280760, F9C07_2281403, F9C07_2281441, F9C07_2282863, F9C07_2283932, F9C07_2287146, F9C07_2287356, F9C07_4160, F9C07_4214, F9C07_5389, F9C07_6941, F9C07_7305, F9C07_8787, F9C07_9905	Afu1g12620, Afu1g16910, Afu3g01520, Afu5g01540, Afu6g09710, Afu6g14640		
OG0000009	F9C07_12367, F9C07_2067205, F9C07_2155817, F9C07_2284249, F9C07_5533, F9C07_8275, F9C07_8414	Afu1g14330, Afu1g17440, Afu2g15130, Afu5g00790	AN0771, AN10949, AN1174, AN4749, AN8344, AN8928, AN9344	An01g03900, An01g08720, An01g12380, An05g01660, An06g02550, An07g01250, An08g03300, An08g04500, An09g00850, An12g09770, An13g03570, An15g02930
OG0000010	F9C07_10325, F9C07_1703, F9C07_2054102, F9C07_2069630, F9C07_2197615, F9C07_2282479, F9C07_2287086, F9C07_6721	Afu2g12500, Afu2g16860, Afu4g06050, Afu5g01350, Afu5g01630, Afu5g09780	AN0970, AN11966, AN12129, AN4119, AN4313, AN6451, AN7295, AN7779, AN8083	An01g11540, An05g01840, An08g03750, An09g03320, An15g05530, An16g00800, An18g01150
OG0000011	F9C07_1095, F9C07_11758, F9C07_1837585, F9C07_1845268, F9C07_1870256, F9C07_1908357, F9C07_2076287, F9C07_2142983, F9C07_2148987, F9C07_2158888, F9C07_2206411, F9C07_2224929, F9C07_2279086, F9C07_2284566, F9C07_2284718, F9C07_2286449, F9C07_9117	Afu1g00200, Afu3g03590, Afu8g00990	AN2346, AN3775, AN6663	An01g14490, An03g05600, An03g05700, An08g04780, An10g00890, An11g05980, An15g07250
OG0000012		Afu1g00560		An01g00640, An01g01440, An01g15160, An03g01420, An03g03030, An03g03370, An03g06120, An05g01000, An06g02210, An07g01850, An07g03330, An08g04770, An08g09430, An08g09500, An08g11180, An08g11610, An10g00420, An11g03610, An11g03980, An12g02440, An12g05650, An12g06340, An15g05050, An15g06750, An16g01440, An16g06160, An18g01910, An18g01920, An19g00280
OG0000013		Afu1g00140, Afu1g04650, Afu1g05480, Afu1g06010, Afu1g08780, Afu2g01420, Afu2g03570, Afu2g04990, Afu3g00190, Afu3g01740, Afu3g03090, Afu3g03770, Afu3g05620, Afu3g10430, Afu4g00270, Afu4g14390, Afu5g04110, Afu5g08340, Afu5g13900, Afu6g00100, Afu6g04480, Afu6g09940, Afu6g10110, Afu6g10870, Afu7g01360, Afu7g02580, Afu7g08660		An02g08710
OG0000014	F9C07_1226468, F9C07_12643, F9C07_1797	Afu1g01290, Afu2g18010, Afu6g08140, Afu6g09730, Afu6g13940, Afu6g13945, Afu8g00240	AN8139, AN8141, AN8530, AN9248, AN9251, AN9253	An02g05090, An08g02920, An11g01150, An11g01980, An11g08810, An11g09260, An12g07120, An13g04080, An15g05110, An18g02700
OG0000015	F9C07_13052, F9C07_1480746, F9C07_2073230, F9C07_2160237, F9C07_2203698, F9C07_2215658, F9C07_2228582, F9C07_2262865, F9C07_2276717, F9C07_2280748, F9C07_2286164, F9C07_2286166, F9C07_2287644, F9C07_2287752, F9C07_2731, F9C07_7483, F9C07_8042, F9C07_838		AN5504, AN7834	An01g00430, An02g06470, An07g05100, An12g05450, An12g10530, An15g05260
OG0000016	F9C07_12923, F9C07_1486340, F9C07_2202302, F9C07_2203374, F9C07_2230143, F9C07_2235088, F9C07_2280480, F9C07_2282896, F9C07_2285495, F9C07_379, F9C07_4208		AN2700, AN3353, AN5510	An02g13290, An07g01690, An08g02910, An09g00500, An09g04060, An12g02350, An15g00810, An15g05840, An15g07220, An15g07330, An15g07350, An16g07890
OG0000017	F9C07_1171746, F9C07_2143243, F9C07_2244108, F9C07_2285868, F9C07_3716, F9C07_4242, F9C07_6291, F9C07_8749	Afu1g13160, Afu5g01590, Afu8g02400	AN0654, AN1592, AN2407, AN8143	An03g00860, An03g02060, An04g04640, An04g04650, An06g02090, An06g02620, An08g04660, An08g06160, An08g10830, An15g07020, An15g07030
OG0000018	F9C07_1016987, F9C07_1185864, F9C07_13374, F9C07_1359798, F9C07_1375405, F9C07_1379800, F9C07_1606849, F9C07_2138990, F9C07_2197511, F9C07_2198125, F9C07_2208557, F9C07_2280874, F9C07_2284687, F9C07_2932, F9C07_4498, F9C07_5241	Afu2g12280	AN4116	An03g03310, An06g01420, An08g04760, An09g05610, An11g09180, An15g04830, An15g04930, An16g03310
OG0000019	F9C07_1005, F9C07_1485, F9C07_2232219, F9C07_2278403, F9C07_5387, F9C07_7795	Afu1g11370, Afu2g15020, Afu3g08070	AN10931, AN2704, AN3229, AN3960, AN4006, AN4212, AN6445, AN7056, AN7812, AN7998, AN9348	An02g11560, An05g02380, An15g03100, An15g04820, An18g00530, An18g01120
OG0000020	F9C07_1000086, F9C07_11485, F9C07_12162, F9C07_13399, F9C07_2203652, F9C07_2205252, F9C07_2220607, F9C07_2227128, F9C07_2234861, F9C07_2287414, F9C07_2287566	Afu3g03450, Afu5g07520	AN10259, AN3225, AN5553, AN5665, AN6449, AN7359, AN7772, AN7969	An02g08860, An08g07910, An09g01410, An16g05710
OG0000021	F9C07_11264, F9C07_12476, F9C07_1955646, F9C07_2198821	Afu1g15420, Afu5g01405, Afu5g03980, Afu6g00720, Afu6g09317, Afu6g09790	AN0511, AN0542, AN0543, AN10104, AN3977, AN4703, AN5076, AN6664, AN6965, AN7847, AN8466, AN9389	An09g03010, An11g05970, An12g06280
OG0000022	F9C07_1747030, F9C07_2137538, F9C07_2168907, F9C07_2201953, F9C07_2276759	Afu7g08500	AN12138, AN6385, AN6469, AN8468, AN8505, AN8524	An01g06710, An01g08000, An01g12060, An04g03850, An08g08160, An08g12200, An09g00640, An11g07530, An13g03540, An13g03550, An15g05630, An16g01430, An18g01880
OG0000023			AN0532, AN0669, AN0826, AN0975, AN11044, AN11091, AN2291, AN2381, AN2382, AN2732, AN3047, AN3473, AN3478, AN4391, AN4877, AN5233, AN5334, AN5863, AN6559, AN7516, AN8456, AN8487, AN8788, AN9046, AN9505	
OG0000024	F9C07_10927, F9C07_1125, F9C07_11477, F9C07_12163, F9C07_1357130, F9C07_1639362, F9C07_2075381, F9C07_2101608, F9C07_2106483, F9C07_2227373, F9C07_2236193, F9C07_2265030	Afu2g15440, Afu3g13810, Afu4g03540, Afu5g00890	AN10357, AN11159, AN5664	An01g01220, An02g09500, An08g09640, An11g00080, An18g00430
OG0000025	F9C07_12214, F9C07_12463, F9C07_13248, F9C07_1489306, F9C07_1585775, F9C07_1788, F9C07_2278607, F9C07_4310, F9C07_4620		AN10320, AN2942, AN3242, AN7130, AN7982	An03g02580, An03g05620, An08g09180, An11g00150, An12g07180, An12g07260, An12g09780, An15g07840, An18g00690, An18g00910
OG0000026	F9C07_13131, F9C07_2080670, F9C07_2227260, F9C07_2278404, F9C07_2280625, F9C07_2282852	Afu2g00910, Afu2g17420	AN10398, AN1071, AN12256, AN1580, AN3077, AN3547, AN3557, AN3881, AN5237, AN6955, AN8322, AN8323, AN8457, AN8545, AN9426	An01g11500
OG0000027	F9C07_10356, F9C07_13024, F9C07_1955750, F9C07_2048057, F9C07_2154555, F9C07_2206278, F9C07_2285873, F9C07_2285885	Afu1g02740, Afu1g17740, Afu6g13930, Afu8g00490, Afu8g00540	AN1784, AN6962, AN8412	An02g08290, An04g04340, An08g03790, An08g03800, An11g06460, An11g09720, An13g02960, An14g01910
OG0000028	F9C07_10682, F9C07_2097085, F9C07_2279316, F9C07_2281654, F9C07_2282012, F9C07_2282826, F9C07_2284541, F9C07_4158	Afu2g17600, Afu4g00210, Afu4g14560, Afu7g00160, Afu7g01660	AN0150, AN6000, AN7071, AN7825, AN7909, AN8209	An03g05440, An04g09530, An09g05730, An11g07310
OG0000029	F9C07_1033726, F9C07_10360, F9C07_12242, F9C07_12785, F9C07_1934722, F9C07_2279290, F9C07_2282717, F9C07_2287542	Afu1g01730, Afu3g00340, Afu3g02040, Afu4g02720	AN0383, AN0393, AN3049, AN8421	An01g06500, An02g02660, An06g00360, An11g01240, An12g05930, An14g03520, An16g08090
OG0000030	F9C07_12176, F9C07_12237, F9C07_12558, F9C07_1348058, F9C07_2221325, F9C07_2276757, F9C07_2287815, F9C07_3603	Afu2g00800, Afu5g10170, Afu5g10380, Afu7g05030	AN10147, AN2331, AN2569, AN4882, AN9439	An03g00190, An11g04030, An14g04370, An15g07160, An19g00270
OG0000031	F9C07_12312, F9C07_1380479, F9C07_1832163, F9C07_2198918, F9C07_2204181, F9C07_2251678, F9C07_2277662, F9C07_2282831, F9C07_2284300, F9C07_2634, F9C07_4063, F9C07_7327, F9C07_8035, F9C07_997	Afu1g01930	AN0547, AN2675, AN6477, AN8610	An02g03670, An04g08250, An08g10970
OG0000032	F9C07_10846, F9C07_2057177, F9C07_2225616, F9C07_2276853, F9C07_2278453, F9C07_2280508, F9C07_2286830, F9C07_7861	Afu3g02760, Afu4g14130, Afu4g14760, Afu5g06070, Afu6g03080, Afu6g03470	AN2300, AN2349, AN3608, AN4091, AN6436	An04g08340, An08g05360, An17g01770
OG0000033	F9C07_1386713, F9C07_1734286, F9C07_1952248, F9C07_2225321, F9C07_2229158, F9C07_2281612, F9C07_9722	Afu6g13800	AN9266	An02g00390, An05g02360, An06g01290, An08g04790, An10g00340, An11g07030, An11g08020, An12g02600, An14g03120, An15g04130, An16g01270, An18g01530
OG0000034	F9C07_1719557, F9C07_1816787, F9C07_2062424, F9C07_2204734, F9C07_2239435, F9C07_2283032, F9C07_2284167, F9C07_2287751, F9C07_4018	Afu1g00750, Afu4g00650, Afu5g14880, Afu8g05975	AN11758, AN7282	An12g01680, An12g07340, An14g02500, An15g07310, An16g04070, An17g00380
OG0000035	F9C07_10358, F9C07_1489157, F9C07_1849288, F9C07_2058617, F9C07_2094956, F9C07_2108770, F9C07_2200843, F9C07_2212258, F9C07_2283211, F9C07_2283380, F9C07_2284645, F9C07_7682, F9C07_7796	Afu8g00510	AN1601, AN3394	An01g11880, An11g03430, An15g03990, An18g01200, An18g01450
OG0000036	F9C07_2075464, F9C07_2920, F9C07_36	Afu2g04070, Afu5g09470, Afu6g03720	AN4157, AN8814	An02g00020, An02g00040, An03g00060, An04g02830, An07g03470, An07g08770, An08g01310, An11g08880, An14g03550, An15g01790, An15g04330, An15g04340, An19g00180
OG0000037	F9C07_1695850, F9C07_1724, F9C07_1989	Afu2g00710, Afu2g03230, Afu2g13460, Afu3g00900, Afu4g10130	AN2018, AN3308, AN3388, AN3402, AN4507, AN6324	An04g06930, An05g02100, An09g03100, An11g03340, An12g02460, An12g06930, An15g07800
OG0000038		Afu1g05030, Afu1g13770, Afu1g14760, Afu2g08930, Afu3g06810, Afu3g12540, Afu3g13860, Afu4g00780, Afu4g06450, Afu5g02810, Afu5g02980, Afu5g06180, Afu5g06920, Afu5g09820, Afu6g02880, Afu6g03610, Afu6g03650, Afu6g10920, Afu7g03810	AN8159, AN8840	
OG0000039	F9C07_11933, F9C07_12296, F9C07_1826191, F9C07_2197670, F9C07_2279637, F9C07_2279968, F9C07_361	Afu1g01180, Afu6g03620, Afu6g11630	AN11243, AN2648, AN7081, AN7153, AN7178	An01g00490, An03g06270, An05g02390, An11g03740, An15g01940
OG0000040	F9C07_12433, F9C07_1478840, F9C07_2232257, F9C07_2232305, F9C07_2235037, F9C07_2279287, F9C07_2286415, F9C07_7066	Afu1g13660, Afu2g00140, Afu2g01580, Afu3g02620, Afu6g03490	AN10814, AN3536, AN7418, AN8370, AN8592	An08g06720, An12g10250
OG0000041	F9C07_11957, F9C07_2217720, F9C07_2228290, F9C07_2232336, F9C07_2237665, F9C07_2287547, F9C07_2671	Afu1g13350, Afu3g07950, Afu4g00120	AN2196, AN2959, AN3066, AN4106, AN4107, AN4129	An01g11450, An07g00980, An08g06430, An16g01940
OG0000042	F9C07_13122, F9C07_2191202, F9C07_2281661, F9C07_3928, F9C07_7061, F9C07_7596, F9C07_9057	Afu3g14630, Afu6g03070	AN1301, AN4203, AN5398, AN7161, AN7946, AN9268	An01g10640, An07g00700, An12g05150, An12g07430, An12g10740
OG0000043	F9C07_1599963, F9C07_1832588, F9C07_2095182, F9C07_2231897, F9C07_2232100, F9C07_2256061, F9C07_2276705, F9C07_2280411, F9C07_667	Afu2g00180, Afu2g15470, Afu2g17480, Afu4g01570, Afu8g00720, Afu8g02260, Afu8g05070	AN1505, AN2821, AN3207, AN9033	
OG0000044	F9C07_1734253, F9C07_2225300, F9C07_2227036, F9C07_2235656, F9C07_2253580, F9C07_9799	Afu3g02230, Afu5g13820, Afu5g14200, Afu6g09410, Afu6g13810, Afu7g05110, Afu8g01720	AN0196, AN12395, AN8992	An04g09640, An11g06100, An13g02610, An15g02090
OG0000045	F9C07_1475465, F9C07_2060285, F9C07_2247356, F9C07_2278033, F9C07_2278697	Afu1g03800, Afu6g00220, Afu6g11750, Afu8g07280	AN0853, AN10504, AN10659, AN8355	An01g00260, An02g10050, An10g01020, An12g03100, An12g10620, An16g00750, An18g03930
OG0000046	F9C07_2165043, F9C07_2234925, F9C07_2278982, F9C07_4682	Afu1g00650, Afu1g03352, Afu2g06160, Afu5g03940, Afu7g08350, Afu7g08510, Afu8g06030, Afu8g06360	AN11064, AN1604	An06g00810, An08g07450, An08g09610, An09g06260, An12g01800, An15g04760
OG0000047		Afu3g03540, Afu8g00370	AN1036, AN10430, AN11191, AN12066, AN12188, AN12331, AN2035, AN2547, AN3273, AN3282, AN3612, AN3887, AN5475, AN6431, AN6791, AN7084, AN8910, AN9005	
OG0000048	F9C07_12261, F9C07_12468, F9C07_2276962, F9C07_2284292	Afu3g01390, Afu3g02570, Afu8g02350	AN0523, AN1034, AN12440, AN2032, AN3230, AN3386, AN6448, AN7903, AN8383	An03g01820, An09g01860, An12g02050
OG0000049	F9C07_10168, F9C07_1171257, F9C07_12722, F9C07_143, F9C07_1473181, F9C07_2063894, F9C07_2280990, F9C07_2281411, F9C07_2282812, F9C07_2285650, F9C07_587, F9C07_7801	Afu7g00290	AN10811, AN11013, AN1737, AN3275, AN3281, AN7818	
OG0000050	F9C07_1262776, F9C07_1853888, F9C07_2167265, F9C07_2189806, F9C07_2200579, F9C07_2228274, F9C07_2248621, F9C07_2264509, F9C07_2276922, F9C07_2281370, F9C07_2282491, F9C07_2285119, F9C07_2287368, F9C07_6546, F9C07_7496, F9C07_7818, F9C07_9723	Afu5g14860, Afu5g15050		
OG0000051	F9C07_1139580, F9C07_13213, F9C07_1462536, F9C07_1840, F9C07_2246408, F9C07_2261874, F9C07_2276723, F9C07_2278911, F9C07_6884	Afu1g15966, Afu2g16560, Afu7g06360	AN10483, AN2809	An11g07790, An14g02830, An14g03300, An15g03760, An16g00830
