afla,afum,anid,anig,myID
F9C07_806,Afu1g03100,AN10032,An01g04930,myID101
F9C07_2227646,Afu1g03110,AN0278,An01g04920,myID102
F9C07_802,Afu1g03140,AN0280,An01g04880,myID104
F9C07_2279158,Afu1g03210,AN0279,An01g04830,myID105
F9C07_2057677,Afu1g05110,AN2737,An01g04310,myID240
F9C07_2386,Afu1g05120,AN2738,An01g04320,myID241
F9C07_2376,Afu1g05220,AN2741,An01g04440,myID249
F9C07_2375,Afu1g05230,AN2740,An01g04450,myID250
F9C07_2374,Afu1g05240,AN9517,An01g04470,myID251
F9C07_2277909,Afu1g05260,AN2739,An01g04520,myID252
F9C07_11105,Afu1g05770,AN4102,An18g03570,myID293
F9C07_11117,Afu1g05780,AN4191,An18g03720,myID294
F9C07_11116,Afu1g05790,AN4190,An18g03730,myID295
F9C07_2280141,Afu1g05800,AN4189,An18g03740,myID296
F9C07_2280140,Afu1g05810,AN4188,An18g03755,myID297
F9C07_2141898,Afu1g05830,AN4187,An18g03770,myID298
F9C07_11111,Afu1g05840,AN4112,An18g03610,myID299
F9C07_2280144,Afu1g05900,AN4192,An18g03700,myID303
F9C07_2141346,Afu1g05960,AN10522,An18g03780,myID305
F9C07_2228435,Afu1g08795,AN1399,An08g00090,myID441
F9C07_1123171,Afu1g08800,AN1397,An08g00180,myID442
F9C07_1659,Afu1g08810,AN1396,An08g00210,myID443
F9C07_1656,Afu1g08830,AN10186,An08g00290,myID444
F9C07_1655,Afu1g08840,AN10188,An08g00300,myID445
F9C07_3633,Afu1g13940,AN0726,An08g07090,myID827
F9C07_2283213,Afu1g13960,AN0725,An08g07100,myID828
F9C07_2069252,Afu1g13970,AN10115,An08g07110,myID829
F9C07_3621,Afu1g13990,AN0723,An08g07150,myID830
F9C07_3622,Afu1g14010,AN0722,An08g07200,myID831
F9C07_3624,Afu1g14020,AN0720,An08g07220,myID832
F9C07_2232271,Afu1g14030,AN0719,An08g07230,myID833
F9C07_3601,Afu1g14080,AN0751,An01g11940,myID836
F9C07_2283197,Afu1g14110,AN0752,An01g11950,myID839
F9C07_3597,Afu1g14150,AN0754,An01g11990,myID841
F9C07_2283193,Afu1g14180,AN0757,An01g12180,myID842
F9C07_3587,Afu1g14190,AN0759,An01g12200,myID843
F9C07_3586,Afu1g14200,AN0747,An01g12210,myID844
F9C07_2283187,Afu1g14210,AN0746,An01g12220,myID845
