afla	afum	anid	anig	myID
F9C07_2227798	Afu1g01680	AN0385	An01g06530	myID1
F9C07_2279293	Afu1g01700	AN0384	An01g06520	myID2
F9C07_2279290	Afu1g01730	AN0383	An01g06500	myID3
F9C07_2101847	Afu1g01740	AN0381	An01g06480	myID4
F9C07_2227784	Afu1g01750	AN0380	An01g06470	myID5
F9C07_953	Afu1g01760	AN0379	An01g06460	myID6
F9C07_942	Afu1g01790	AN10070	An01g06420	myID7
F9C07_2137432	Afu1g01820	AN10069	An01g06400	myID8
F9C07_2137430	Afu1g01850	AN10059	An01g06390	myID9
F9C07_938	Afu1g01860	AN0372	An01g06380	myID10
F9C07_2279269	Afu1g01870	AN10067	An01g06370	myID11
F9C07_2279268	Afu1g01890	AN0370	An01g06360	myID12
F9C07_934	Afu1g01910	AN0367	An01g06350	myID13
F9C07_931	Afu1g01950	AN0365	An01g06340	myID14
F9C07_1061164	Afu1g01960	AN0364	An01g06330	myID15
F9C07_1059543	Afu1g01970	AN0363	An01g06290	myID16
F9C07_928	Afu1g01980	AN0362	An01g06280	myID17
F9C07_2058012	Afu1g01990	AN10058	An01g06270	myID18
F9C07_925	Afu1g02010	AN10068	An01g06250	myID19
F9C07_924	Afu1g02020	AN0360	An01g06240	myID20
F9C07_923	Afu1g02030	AN0359	An01g06230	myID21
F9C07_2101818	Afu1g02040	AN10057	An01g06220	myID22
F9C07_921	Afu1g02050	AN10061	An01g06210	myID23
F9C07_2279253	Afu1g02070	AN0357	An01g06180	myID24
F9C07_918	Afu1g02080	AN0356	An01g06170	myID25
F9C07_2061108	Afu1g02100	AN0355	An01g06160	myID26
F9C07_917	Afu1g02110	AN0354	An01g06150	myID27
F9C07_2279251	Afu1g02130	AN10056	An01g06130	myID28
F9C07_915	Afu1g02140	AN10060	An01g06120	myID29
F9C07_1063411	Afu1g02150	AN0351	An01g06110	myID30
F9C07_2058994	Afu1g02170	AN0349	An01g06080	myID31
F9C07_2101806	Afu1g02180	AN0348	An01g06070	myID32
F9C07_909	Afu1g02190	AN0347	An01g06060	myID33
F9C07_1058961	Afu1g02200	AN10073	An01g06050	myID34
F9C07_907	Afu1g02210	AN10055	An01g06040	myID35
F9C07_905	Afu1g02250	AN0343	An01g06020	myID36
F9C07_902	Afu1g02270	AN0340	An01g05990	myID37
F9C07_2279238	Afu1g02280	AN0339	An01g05970	myID38
F9C07_898	Afu1g02310	AN0336	An01g05880	myID39
F9C07_896	Afu1g02330	AN0335	An01g05850	myID40
F9C07_895	Afu1g02340	AN0334	An01g05840	myID41
F9C07_2199619	Afu1g02350	AN0332	An01g05830	myID42
F9C07_888	Afu1g02380	AN0331	An01g05810	myID43
F9C07_1058271	Afu1g02390	AN0325	An01g05800	myID44
F9C07_886	Afu1g02400	AN0326	An01g05790	myID45
F9C07_2279229	Afu1g02410	AN0327	An01g05780	myID46
F9C07_884	Afu1g02420	AN0328	An01g05770	myID47
F9C07_883	Afu1g02430	AN0329	An01g05760	myID48
F9C07_882	Afu1g02440	AN0323	An01g05750	myID49
F9C07_881	Afu1g02460	AN0321	An01g05740	myID50
F9C07_875	Afu1g02480	AN0318	An01g05670	myID51
F9C07_2279221	Afu1g02490	AN0319	An01g05680	myID52
F9C07_2279222	Afu1g02510	AN10071	An01g05705	myID53
F9C07_877	Afu1g02500	AN10072	An01g05690	myID54
F9C07_1058229	Afu1g02530	AN12074	An01g05730	myID55
F9C07_874	Afu1g02540	AN0317	An01g05660	myID56
F9C07_2279219	Afu1g02550	AN0316	An01g05650	myID57
F9C07_872	Afu1g02560	AN0315	An01g05640	myID58
F9C07_871	Afu1g02570	AN0314	An01g05630	myID59
F9C07_870	Afu1g02580	AN0313	An01g05620	myID60
F9C07_2059362	Afu1g02590	AN0312	An01g05610	myID61
F9C07_867	Afu1g02600	AN0311	An01g05600	myID62
F9C07_864	Afu1g02610	AN10052	An01g05560	myID63
F9C07_2279211	Afu1g02620	AN0309	An01g05570	myID64
F9C07_2279212	Afu1g02630	AN0310	An01g05580	myID65
F9C07_863	Afu1g02640	AN10064	An01g05540	myID66
F9C07_2249687	Afu1g02650	AN10065	An01g05530	myID67
F9C07_856	Afu1g02670	AN0306	An01g05510	myID68
F9C07_2279203	Afu1g02680	AN0305	An01g05500	myID69
F9C07_2279202	Afu1g02700	AN0304	An01g05470	myID70
F9C07_853	Afu1g02710	AN0303	An01g05410	myID71
F9C07_851	Afu1g02760	AN0302	An01g05390	myID72
F9C07_2227688	Afu1g02770	AN0301	An01g05370	myID73
F9C07_847	Afu1g02800	AN0299	An01g05360	myID74
F9C07_846	Afu1g02810	AN0298	An01g05350	myID75
F9C07_845	Afu1g02820	AN0297	An01g05340	myID76
F9C07_2061066	Afu1g02830	AN0295	An01g05330	myID77
F9C07_1053466	Afu1g02840	AN0276	An01g04950	myID78
F9C07_809	Afu1g02860	AN0274	An01g04980	myID79
F9C07_2136932	Afu1g02870	AN0273	An01g04990	myID80
F9C07_1053456	Afu1g02880	AN0272	An01g05030	myID81
F9C07_811	Afu1g02890	AN0271	An01g05040	myID82
F9C07_2227654	Afu1g02900	AN0270	An01g05050	myID83
F9C07_2279169	Afu1g02910	AN10031	An01g05060	myID84
F9C07_2227656	Afu1g02920	AN0268	An01g05070	myID85
F9C07_1053221	Afu1g02930	AN0267	An01g05080	myID86
F9C07_817	Afu1g02940	AN0281	An01g05090	myID87
F9C07_2227659	Afu1g02950	AN0282	An01g05100	myID88
F9C07_821	Afu1g02980	AN0285	An01g05150	myID89
F9C07_1054782	Afu1g02985	AN0286	An01g05160	myID90
F9C07_1054872	Afu1g02990	AN0287	An01g05180	myID91
F9C07_2061652	Afu1g03010	AN0289	An01g05190	myID92
F9C07_828	Afu1g03020	AN11234	An01g05200	myID93
F9C07_829	Afu1g03030	AN9448	An01g05220	myID94
F9C07_2279187	Afu1g03040	AN9450	An01g05230	myID95
F9C07_836	Afu1g03050	AN10063	An01g05260	myID96
F9C07_1055367	Afu1g03060	AN0290	An01g05290	myID97
F9C07_841	Afu1g03070	AN0292	An01g05300	myID98
F9C07_1055498	Afu1g03080	AN0293	An01g05310	myID99
F9C07_843	Afu1g03090	AN0294	An01g05320	myID100
