Transcript_ID	TE_BP	Total_Len	TE_Percentage
MSTRG.10016.1	0	2695	0
MSTRG.10018.1	131	660	19.8485
MSTRG.10035.1	0	657	0
MSTRG.10048.1	0	207	0
MSTRG.10051.1	0	407	0
MSTRG.10058.3	119	1252	9.50479
MSTRG.10062.1	0	639	0
MSTRG.10063.1	0	1020	0
MSTRG.10074.6	0	1124	0
MSTRG.10076.1	0	270	0
MSTRG.10097.1	148	1216	12.1711
MSTRG.1010.1	0	381	0
MSTRG.10103.1	0	2319	0
MSTRG.1011.1	38	1188	3.19865
MSTRG.10111.1	0	360	0
MSTRG.10112.1	0	1269	0
MSTRG.10114.11	0	1174	0
MSTRG.10116.6	0	5872	0
MSTRG.10124.1	0	527	0
MSTRG.10125.6	0	1426	0
MSTRG.10126.1	0	497	0
MSTRG.10130.3	0	969	0
MSTRG.10139.1	0	970	0
MSTRG.10140.1	16	285	5.61404
MSTRG.10156.1	0	1854	0
MSTRG.10162.1	0	1404	0
MSTRG.10169.3	0	1076	0
MSTRG.10170.4	0	2903	0
MSTRG.1017.1	0	554	0
MSTRG.10178.5	0	4164	0
MSTRG.10180.1	0	554	0
MSTRG.10186.1	0	527	0
MSTRG.10187.1	0	1686	0
MSTRG.10188.1	191	7804	2.44746
MSTRG.10193.1	0	405	0
MSTRG.10198.5	82	2034	4.03147
MSTRG.10199.1	0	395	0
MSTRG.10200.1	0	317	0
MSTRG.10207.1	0	778	0
MSTRG.10209.1	0	668	0
MSTRG.10219.1	0	1351	0
MSTRG.1022.1	0	431	0
MSTRG.10247.6	0	610	0
MSTRG.10248.1	0	354	0
MSTRG.10250.1	0	247	0
MSTRG.10257.1	1097	1539	71.2801
MSTRG.1027.1	59	1778	3.31834
MSTRG.10272.1	0	1175	0
MSTRG.10277.1	0	267	0
MSTRG.10286.1	0	211	0
MSTRG.1029.1	16	3232	0.49505
MSTRG.10293.1	0	1028	0
MSTRG.10296.1	731	2828	25.8487
MSTRG.10299.1	0	265	0
MSTRG.10309.1	60	359	16.7131
MSTRG.10311.16	0	3678	0
MSTRG.10321.1	0	887	0
MSTRG.10323.1	87	2319	3.75162
MSTRG.10332.1	0	988	0
MSTRG.10333.1	0	522	0
MSTRG.10335.9	83	7343	1.13033
MSTRG.10347.1	92	2434	3.77979
MSTRG.10351.1	0	368	0
MSTRG.10357.1	168	4051	4.14712
MSTRG.10366.1	220	2144	10.2612
MSTRG.10370.1	0	437	0
MSTRG.10374.1	54	1618	3.33745
MSTRG.10375.1	54	749	7.20961
MSTRG.10380.2	78	1597	4.88416
MSTRG.10383.1	106	680	15.5882
MSTRG.10396.1	0	252	0
MSTRG.10399.1	0	679	0
MSTRG.10401.5	0	3043	0
MSTRG.10402.1	0	2636	0
MSTRG.10414.1	0	227	0
MSTRG.10415.1	0	1244	0
MSTRG.10417.1	0	1078	0
MSTRG.10422.2	0	1194	0
MSTRG.10423.1	0	683	0
MSTRG.10453.1	0	410	0
MSTRG.1046.1	0	226	0
MSTRG.10466.1	0	433	0
MSTRG.10467.1	0	725	0
MSTRG.10468.1	0	318	0
MSTRG.10474.1	134	1644	8.15085
MSTRG.10479.1	0	335	0
MSTRG.10483.2	0	793	0
MSTRG.1048.4	0	1219	0
MSTRG.10501.1	0	590	0
MSTRG.10507.2	0	1308	0
MSTRG.10513.1	54	942	5.73248
MSTRG.10523.1	0	363	0
MSTRG.10524.1	0	641	0
MSTRG.10526.1	0	572	0
MSTRG.10546.9	0	4564	0
MSTRG.10548.1	0	666	0
MSTRG.10555.3	0	2601	0
MSTRG.10556.1	0	1107	0
MSTRG.10561.1	0	2080	0
MSTRG.10564.3	0	1539	0
MSTRG.10567.1	0	2963	0
MSTRG.10577.1	0	2104	0
MSTRG.10581.1	64	1737	3.68451
MSTRG.10597.1	0	350	0
MSTRG.10604.1	0	556	0
MSTRG.10607.1	0	269	0
